id_policy,id_client,id_vehicle,id_year,id_claim,claim_nb,claim_amount,pol_bonus,pol_coverage,pol_duration,pol_sit_duration,pol_pay_freq,pol_payd,pol_usage,pol_insee_code,drv_drv2,drv_age1,drv_age2,drv_sex1,drv_sex2,drv_age_lic1,drv_age_lic2,vh_age,vh_cyl,vh_din,vh_fuel,vh_make,vh_model,vh_sale_begin,vh_sale_end,vh_speed,vh_type,vh_value,vh_weight,claim_amount_winsorized
A00047578-V01,A00047578,V01,0,CL01,1,1236.0,0.6,3.0,2.0,1.0,Yearly,No,WorkPrivate,77152,No,30,,M,,12.0,0.0,9.0,2148.0,116.0,Diesel,MERCEDES BENZ,C200,11.0,8.0,203.0,Tourism,29200.0,1505.0,1236.0
A00058432-V01,A00058432,V01,0,CL01,1,59.84,0.5,3.0,14.0,5.0,Yearly,No,WorkPrivate,38175,No,37,,M,,18.0,0.0,9.0,1753.0,75.0,Diesel,FORD,FIESTA,11.0,10.0,168.0,Tourism,12212.0,1041.0,59.84
A00047550-V01,A00047550,V01,0,CL02,1,2683.76,0.5,4.0,12.0,1.0,Biannual,No,WorkPrivate,95229,Yes,62,30,M,F,33.0,11.0,1.0,1560.0,90.0,Diesel,PEUGEOT,207,2.0,1.0,182.0,Tourism,18050.0,1257.0,2683.76
A00012792-V01,A00012792,V01,0,CL01,1,84.05,0.5,3.0,12.0,11.0,Yearly,No,WorkPrivate,75111,Yes,63,60,M,F,35.0,32.0,18.0,1699.0,82.0,Diesel,OPEL,VECTRA,18.0,17.0,175.0,Tourism,22030.0,1070.0,84.05
A00032112-V01,A00032112,V01,0,CL01,1,104.49,0.5,3.0,1.0,1.0,Monthly,No,WorkPrivate,34032,No,52,,M,,33.0,0.0,9.0,2926.0,184.0,Diesel,BMW,X5,10.0,8.0,200.0,Tourism,45600.0,2115.0,104.49
A00029668-V01,A00029668,V01,0,CL01,1,376.31,0.5,3.0,20.0,3.0,Yearly,No,WorkPrivate,35240,Yes,53,24,M,M,34.0,6.0,15.0,1390.0,60.0,Gasoline,RENAULT,SUPERCINQ,19.0,19.0,158.0,Tourism,8705.0,715.0,376.31
A00090437-V01,A00090437,V01,0,CL01,1,440.39,0.5,3.0,9.0,3.0,Biannual,No,WorkPrivate,63040,No,56,,M,,29.0,0.0,20.0,1721.0,77.0,Gasoline,RENAULT,R21,26.0,19.0,173.0,Tourism,12278.0,955.0,440.39
A00084815-V01,A00084815,V01,0,CL01,1,1010.41,0.6,4.0,1.0,1.0,Biannual,No,Professional,93066,Yes,57,58,M,F,34.0,10.0,8.0,1998.0,155.0,Gasoline,HONDA,ACCORD,8.0,4.0,217.0,Tourism,23700.0,1349.0,1010.41
A00043912-V01,A00043912,V01,0,CL01,1,426.08,0.5,4.0,28.0,2.0,Biannual,No,Retired,44215,No,66,,F,,38.0,0.0,8.0,1149.0,75.0,Gasoline,RENAULT,CLIO,10.0,8.0,170.0,Tourism,11250.0,910.0,426.08
A00015097-V01,A00015097,V01,0,CL01,1,142.14,0.6,4.0,2.0,1.0,Monthly,No,WorkPrivate,77152,No,28,,M,,10.0,0.0,4.0,1995.0,177.0,Diesel,BMW,320,4.0,3.0,228.0,Tourism,34600.0,1445.0,142.14
A00036636-V01,A00036636,V01,0,CL02,1,2765.79,0.5,4.0,25.0,2.0,Biannual,No,Retired,92900,Yes,87,85,M,F,55.0,50.0,5.0,1560.0,90.0,Diesel,PEUGEOT,307,6.0,6.0,179.0,Tourism,17500.0,1193.0,2765.79
A00049278-V01,A00049278,V01,0,CL01,1,200.41,0.5,4.0,9.0,2.0,Biannual,No,WorkPrivate,43039,No,65,,F,,45.0,0.0,12.0,1870.0,64.0,Diesel,RENAULT,KANGOO,13.0,12.0,145.0,Tourism,13873.0,1110.0,200.41
